"AnimalID" "Samp" "HyPop" "Pop" "St" "Region" "BirthPack" "Reproducti" "IsReproduc" "QI" "SType" "Dt" "NumAmpedLo" "amelogenin" "SRY" "GeneticSex" "MatchedOK" "Str_p_Wolf" "pWolf" "GIS_X" "GIS_Y"
"540" "AP.07X7" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 1 "Tissue" "29.08.1997" 37 "1 2" "1 1" "M" 0 0.992 0.9916 514140 20900
"782" "AP.081H" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.886179 "Tissue" "27.07.2003" 41 "1 2" "1 1" "M" 0 0.9922 0.9926 535534 -31629
"602" "AP.084H" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.802846 "Decomposing Tissue" "24.10.2007" 41 "1 2" "1 1" "M" 0 0.9924 0.9912 458036 39690
"496" "AP.07P0" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 1 "Tissue" "15.09.2007" 37 "1 2" "1 1" "M" -1 0.9933 0.9904 507066 -33546
"615" "AP.0857" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 1 "Tissue" "12.01.2009" 37 "1 2" "1 1" "M" 0 0.9944 0.995 482927 19683
"617" "AP.085F" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.990991 "Decomposing Tissue" "3.12.2009" 37 "2 2" NA "F" 0 0.995 0.9966 472500 26500
"603" "AP.084J" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.890244 "Tissue" "16.01.2010" 41 "1 2" "1 1" "M" 0 0.995 0.996 501242 22080
"557" "AP.07YY" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.783784 "Decomposing Tissue" "21.03.2008" 37 "1 2" "1 1" "M" 0 0.995 0.995 520827 7380
"640" "AP.086X" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.892857 "Tissue" "15.10.2010" 42 "1 2" "1 1" "M" 0 0.995 0.9864 554368 -39387
"516" "AP.07TF" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 1 "Tissue" "13.11.1996" 37 "2 2" NA "F" 0 0.9953 0.998 478450 28000
"698" "AP.08AP" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.892857 "Tissue" "27.10.2010" 42 "1 2" "1 1" "M" 0 0.9955 0.9956 497742 20361
"667" "AP.0887" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.896825 "Tissue" "19.11.2011" 42 "1 2" "1 1" "M" 0 0.9959 0.9886 498262 -6855
"696" "AP.08AL" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" "Neznano" "-" FALSE 0.892857 "Tissue" "7.12.2011" 42 "1 2" "1 1" "M" 0 0.996 0.997 500971 28419
"681" "AP.088Y" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.892857 "Tissue" "16.11.2010" 42 "2 2" NA "F" 0 0.996 0.9886 508113 -5997
"504" "AP.07PE" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.945946 "Tissue" "15.08.2002" 37 "2 2" NA "F" 0 0.9968 0.9902 554944 -38847
"701" "AP.08AX" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.892857 "Tissue" "26.11.2010" 42 "1 2" "1 1" "M" 0 0.997 0.997 493679 12675
"751" "CH.0LLT" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" "Poljanska gora" "-" FALSE 0.918699 "Tissue" "27.12.2012" 41 "2 2" NA "F" 0 0.997 0.997 505200 36250
"590" "AP.083X" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.873874 "Decomposing Tissue" "19.10.2007" 37 "1 2" "1 1" "M" 0 0.997 0.997 511512 -54678
"679" "AP.088U" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" "Snje?nik2" "-" FALSE 0.896825 "Tissue" "3.11.2011" 42 "2 2" NA "F" 0 0.9979 0.998 463278 50186
"671" "AP.088E" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.777778 "Tissue" "18.12.2011" 42 "1 2" "1 1" "M" 0 0.9979 0.9972 486169 4651
"586" "AP.083E" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 1 "Tissue" "13.11.2006" 37 "2 2" NA "F" 0 0.998 0.998 469206 49043
"558" "AP.0801" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 1 "Tissue" "25.11.2008" 37 "1 2" "1 1" "M" 0 0.998 0.998 470989 48671
"611" "AP.0852" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.914634 "Tissue" "25.02.2010" 41 "1 2" "1 1" "M" 0 0.998 0.998 471108 19118
"684" "AP.08A3" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" "Risnjak" "-" FALSE 0.892857 "Tissue" "9.03.2012" 42 "2 2" NA "F" 0 0.998 0.9984 484225 30950
"531" "AP.07UJ" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 1 "Tissue" "16.11.2005" 37 "1 2" "1 1" "M" 0 0.998 0.998 489960 26358
"632" "AP.0866" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.914634 "Tissue" "6.12.2012" 41 "1 2" "1 1" "M" 0 0.998 0.998 493679 12675
"702" "AP.08AY" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.892857 "Tissue" "12.12.2010" 42 "1 2" "1 1" "M" 0 0.998 0.998 498262 -6855
"651" "AP.087H" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.940476 "Tissue" "19.02.2010" 42 "1 2" "1 1" "M" 0 0.998 0.998 498344 -33266
"618" "AP.085H" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.986486 "Tissue" "23.11.2009" 37 "2 2" NA "F" 0 0.998 0.998 498803 21101
"598" "AP.084A" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 1 "Tissue" "21.11.2007" 37 "2 2" NA "F" 0 0.998 0.998 500854 2709
"662" "AP.0882" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.973684 "Tissue" "4.11.2006" 38 "2 2" NA "F" 0 0.998 0.9974 504609 23442
"760" "CH.0LM6" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" "Poljanska gora" "-" FALSE 0.914634 "Tissue" "27.12.2012" 41 "2 2" NA "F" 0 0.998 0.9982 505100 36225
"654" "AP.087L" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.892857 "Tissue" "25.10.2010" 42 "1 2" "1 1" "M" 0 0.998 0.998 507423 -34818
"606" "AP.084U" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.986486 "Tissue" "11.09.2009" 37 "1 2" "1 1" "M" 0 0.998 0.998 508250 -42030
"700" "AP.08AU" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.869048 "Tissue" "19.11.2010" 42 "2 2" NA "F" 0 0.998 0.998 512192 23689
"614" "AP.0856" "Dinaric" "Dinaric" "Mortality-HR" "Gorski kotar (HR)" NA NA FALSE 0.945946 "Tissue" "9.12.2008" 37 "1 2" "1 1" "M" 0 0.9981 0.999 466382 42483
